rhos,ds,Es,vs,rhop,l,Ep,vp,ep
"1640,6","6,14","2,30E+09","0,35",2500,8,"9,00E+10","0,22","0,835956655223083"
"1640,6","6,14","2,30E+09","0,35",2500,8,"9,00E+10","0,22","0,841567165541555"
"1640,6","6,14","2,30E+09","0,35",2500,10,"9,00E+10","0,22","0,85254962031948"
"1640,6","6,14","2,30E+09","0,35",2500,10,"9,00E+10","0,22","0,85167606087999"
"1640,6","6,14","2,30E+09","0,35",2500,10,"9,00E+10","0,22","0,855800424279623"
"1640,6","6,14","2,30E+09","0,35",2500,10,"9,00E+10","0,22","0,850915156624669"
"1640,6","6,14","2,30E+09","0,35",2500,10,"9,00E+10","0,22","0,843957434319644"
"1640,6","6,14","2,30E+09","0,35",2500,12,"9,00E+10","0,22","0,856072730610292"
"1640,6","6,14","2,30E+09","0,35",2500,12,"9,00E+10","0,22","0,85708643461328"
"1640,6","6,14","2,30E+09","0,35",2500,12,"9,00E+10","0,22","0,85318440426731"
"1640,6","6,14","2,30E+09","0,35",2500,12,"9,00E+10","0,22","0,867058231108875"
"1640,6","6,14","2,30E+09","0,35",2500,12,"9,00E+10","0,22","0,862245866033399"
"1640,6","6,14","2,30E+09","0,35",2500,15,"9,00E+10","0,22","0,850406973131174"
"1640,6","6,14","2,30E+09","0,35",2500,15,"9,00E+10","0,22","0,856544418993284"
"1640,6","6,14","2,30E+09","0,35",2500,15,"9,00E+10","0,22","0,856933976219287"
"1640,6","6,14","2,30E+09","0,35",2500,15,"9,00E+10","0,22","0,826135582092915"
"1640,6","6,14","2,30E+09","0,35",2500,15,"9,00E+10","0,22","0,852535654742085"
"1640,6","6,14","2,30E+09","0,35",2500,19,"9,00E+10","0,22","0,855545885903613"
"1640,6","6,14","2,30E+09","0,35",2500,19,"9,00E+10","0,22","0,851015160924711"
"1640,6","6,14","2,30E+09","0,35",2500,19,"9,00E+10","0,22","0,842325096458246"
"1640,6","6,14","2,30E+09","0,35",2500,19,"9,00E+10","0,22","0,854324370406305"
"1640,6","6,14","2,30E+09","0,35",2500,19,"9,00E+10","0,22","0,852386356061616"
"7576,2","6,04","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,452781834354737"
"7576,2","6,04","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,454772670482937"
"7576,2","6,04","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,459221464809188"
"7576,2","6,04","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,457264594180338"
"7576,2","6,04","1,80E+11","0,3",2500,3,"9,00E+10","0,22","0,466569474815843"
"7576,2","6,04","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,638218343877895"
"7576,2","6,04","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,636423070718521"
"7576,2","6,04","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,628472090828043"
"7576,2","6,04","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,633542537473997"
"7576,2","6,04","1,80E+11","0,3",2500,4,"9,00E+10","0,22","0,633897849829343"
"7576,2","6,04","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,743636599223753"
"7576,2","6,04","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,746728656632344"
"7576,2","6,04","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,743104418190409"
"7576,2","6,04","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,744663925505295"
"7576,2","6,04","1,80E+11","0,3",2500,5,"9,00E+10","0,22","0,741232276251056"
"7576,2","6,04","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,791307920028016"
"7576,2","6,04","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,76312947088102"
"7576,2","6,04","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,787991264265118"
"7576,2","6,04","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,798253908431134"
"7576,2","6,04","1,80E+11","0,3",2500,6,"9,00E+10","0,22","0,795335237201825"
"7576,2","6,04","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,875728135267885"
"7576,2","6,04","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,86131322125942"
"7576,2","6,04","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,861969056408412"
"7576,2","6,04","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,871726310206799"
"7576,2","6,04","1,80E+11","0,3",2500,8,"9,00E+10","0,22","0,880140833801014"
"7576,2","6,04","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,917391718412489"
"7576,2","6,04","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,897085227145061"
"7576,2","6,04","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,907255866636954"
"7576,2","6,04","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,908950205561601"
"7576,2","6,04","1,80E+11","0,3",2500,10,"9,00E+10","0,22","0,911565895013839"
"7576,2","6,04","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,911096639977692"
"7576,2","6,04","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,915551906839611"
"7576,2","6,04","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,929910909451496"
"7576,2","6,04","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,923201084342274"
"7576,2","6,04","1,80E+11","0,3",2500,12,"9,00E+10","0,22","0,938805588076354"
"7576,2","6,04","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,942072184070839"
"7576,2","6,04","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,939813136194886"
"7576,2","6,04","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,929688984575057"
"7576,2","6,04","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,926982460682003"
"7576,2","6,04","1,80E+11","0,3",2500,15,"9,00E+10","0,22","0,933387444318875"
"7576,2","6,04","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,932504808240314"
"7576,2","6,04","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,957764408139448"
"7576,2","6,04","1,80E+11","0,3",2500,19,"9,00E+10","0,22","0,934898919518695"
