,type,v:0,v:1,v:2,radius,Points:0,Points:1,Points:2
177,2,0.054827,0.01948,6.9248e-05,0.0021,0.019458,-0.054857,0.008292299999999999
178,2,0.05195399999999999,0.021084000000000002,3.5757e-05,0.0021,0.021091,-0.05200900000000001,0.005693600000000001
179,2,0.057974,0.024761000000000002,7.4638e-05,0.0021,0.024721,-0.057955999999999994,0.0056851
180,2,0.05221699999999999,0.023184,2.7536999999999997e-05,0.0021,0.023185,-0.052235000000000004,0.0020771
181,2,0.055853999999999994,0.025294999999999998,4.4808e-05,0.0021,0.025279,-0.055855999999999996,0.0020975
182,2,0.052872,0.025197999999999998,5.6889e-05,0.0021,0.025185,-0.052888,0.0056902
183,2,0.055725,0.028283999999999997,8.0887e-05,0.0021,0.028231,-0.055714,0.0052106
184,2,0.052927999999999996,0.028306,4.182e-05,0.0021,0.028286000000000002,-0.052933,0.0020851
185,2,0.05128099999999999,0.029075,7.8293e-05,0.0021,0.029051999999999998,-0.051279,0.0058576
186,2,0.057862000000000004,0.031937,7.0863e-05,0.0021,0.031862,-0.05784299999999999,0.0052534999999999995
187,2,0.054297000000000005,0.031536,0.00010063,0.0021,0.031483,-0.05430499999999999,0.0074375
188,2,0.055307,0.031965,2.0414e-05,0.0021,0.031907,-0.055094000000000004,0.0020926
189,2,0.056138,0.03559,0.00011053,0.0021,0.035505,-0.056139999999999995,0.0064161
190,2,0.051326,0.03365,0.00013025,0.0021,0.033576,-0.051363,0.0053498999999999994
191,2,0.052973,0.035684,5.7118000000000004e-05,0.0021,0.035642,-0.052979,0.0020891
192,2,0.05789400000000001,0.043902,2.0174e-05,0.0021,0.043898,-0.057922,0.0062313
193,2,0.05703300000000001,0.036731,3.3928000000000004e-05,0.0021,0.036706,-0.057032000000000006,0.0020858
194,2,0.052209000000000005,0.038487,0.0003556,0.0021,0.038369,-0.052266,0.0061719999999999995
195,2,0.056215,0.039746,6.3737e-05,0.0021,0.039678,-0.056246000000000004,0.0060810000000000005
196,2,0.055242999999999993,0.040514999999999995,3.4195e-05,0.0021,0.040487,-0.055254,0.0020925
197,2,0.051035000000000004,0.040454000000000004,5.9071000000000004e-05,0.0021,0.040415,-0.051073,0.0020939
198,2,0.053753999999999996,0.043143,5.3998e-05,0.0021,0.043097,-0.053815999999999996,0.0060837
199,2,0.053162,0.044149,3.3042e-05,0.0021,0.044124000000000003,-0.053188,0.0020813000000000003
200,2,0.055539,0.047037,1.0342999999999999e-05,0.0021,0.047039,-0.055577999999999995,0.007640100000000001
201,2,0.055001,0.047609,2.0001e-05,0.0021,0.047593,-0.055027,0.0035189
202,2,0.051351999999999995,0.04724,5.6612e-05,0.0021,0.047208,-0.051423,0.0056286
203,2,0.052216,0.050366,9.6992e-06,0.0021,0.050367,-0.052237,0.0020853
204,2,0.050817,0.051705999999999995,1.608e-05,0.0021,0.051726,-0.050872,0.0057969
205,1,0.046165,-0.056407000000000006,-3.3941e-05,0.0021,-0.056346,-0.046225999999999996,0.0020953000000000005
206,1,0.048799,-0.053763,-5.896100000000001e-05,0.0021,-0.053724,-0.04888,0.0040111999999999995
207,1,0.046863,-0.055718,-3.4699e-05,0.0021,-0.055697,-0.04691,0.0071387
208,1,0.046157,-0.051598000000000005,-0.00014637,0.0021,-0.051542,-0.04639,0.0065878
209,1,0.04386,-0.057973000000000004,-0.00012565,0.0021,-0.057905,-0.043899,0.0052201
210,1,0.043819,-0.053203,-8.9177e-05,0.0021,-0.053116,-0.043972000000000004,0.0035394
211,1,0.046830000000000004,-0.050537,-1.2919000000000001e-05,0.0021,-0.05053,-0.046945999999999995,0.0020976
212,1,0.048599,-0.048095,-0.00018202,0.0021,-0.048102,-0.048748,0.006118
213,1,0.049554,-0.047314999999999996,-2.9035e-05,0.0021,-0.047336,-0.049663,0.0020944
214,1,0.045467,-0.046387,7.514199999999999e-05,0.0021,-0.046448,-0.045566,0.0020971
215,1,0.045111,-0.044023,-3.0276e-05,0.0021,-0.043445,-0.044959,0.0049624
216,1,0.048258999999999996,-0.043559,-0.00017253,0.0021,-0.043371,-0.048394,0.0025553
217,1,0.050051,-0.042158,9.167700000000001e-05,0.0021,-0.041985,-0.05013,0.0061125
218,1,0.046803,-0.042083999999999996,0.00042729,0.0021,-0.041551,-0.046596,0.0083299
219,1,0.049425,-0.039609,5.9777e-05,0.0021,-0.039356,-0.049507,0.0020913
220,1,0.047529,-0.037574,0.00029226,0.0021,-0.037071,-0.047966,0.0052529
221,1,0.045329,-0.040806,-0.00023062,0.0021,-0.04042,-0.045449,0.0020953000000000005
222,1,0.045322,-0.036909,0.00019124,0.0021,-0.036225,-0.04534,0.0020954
223,1,0.04369,-0.040428,0.00011329,0.0021,-0.039284,-0.04405,0.0058835
224,1,0.049388,-0.0352,0.00031943,0.0021,-0.034684,-0.049413,0.0021143
225,1,0.050059,-0.035488,0.00043439999999999993,0.0021,-0.034883,-0.05081,0.007426899999999999
226,1,0.048616,-0.028997000000000002,0.00031994,0.0021,-0.028962,-0.049003,0.0020854
227,1,0.048404,-0.032053,0.00014197,0.0021,-0.031751,-0.049131,0.005208699999999999
228,1,0.046096,-0.032706,4.2569e-05,0.0021,-0.032102,-0.046112,0.0020993
229,1,0.045116,-0.034149,0.00052821,0.0021,-0.033746,-0.045548000000000005,0.006093600000000001
230,1,0.04582,-0.028972,0.00062377,0.0021,-0.028747,-0.046481,0.0064608
231,1,0.044198,-0.028133999999999996,0.0002675,0.0021,-0.028187,-0.044611000000000005,0.0020957
232,1,0.049961,-0.027597000000000003,0.00031435,0.0021,-0.027623,-0.050460000000000005,0.0057744
233,1,0.046995999999999996,-0.025345,0.00018498,0.0021,-0.02555,-0.047345,0.003868
234,1,0.046813,-0.021585,0.00030316,0.0021,-0.021752,-0.047142,0.0020971
235,1,0.048746,-0.022308,-0.00039468,0.0021,-0.022425999999999998,-0.049004,0.006111600000000001
236,1,0.044442,-0.020782,0.00019073,0.0021,-0.0213,-0.044987,0.005672399999999999
237,1,0.049638,-0.01806,5.1584e-05,0.0021,-0.018413,-0.049925,0.0053509
238,1,0.047383999999999996,-0.016626,7.994e-05,0.0021,-0.01662,-0.047619999999999996,0.0020965
239,1,0.045589,-0.016444,6.228100000000001e-05,0.0021,-0.017218999999999998,-0.045944,0.0058969999999999995
240,1,0.044045999999999995,-0.018453999999999998,0.0006362,0.0021,-0.018879,-0.044086,0.0020986
241,1,0.043709,-0.014357,0.00043262,0.0021,-0.014511000000000001,-0.043995,0.0020940999999999998
242,1,0.049925,-0.014119,0.00056295,0.0021,-0.014236000000000002,-0.050174,0.005157899999999999
243,1,0.046909,-0.014124000000000001,0.00036637,0.0021,-0.013985,-0.0473,0.008200200000000001
244,1,0.047812,-0.011918999999999999,0.00049576,0.0021,-0.012206999999999999,-0.048166,0.0020912
245,1,0.044011,-0.012394,0.00040144,0.0021,-0.012228,-0.04455,0.0055658
246,1,0.04994,-0.008350100000000001,0.00024076,0.0021,-0.0085777,-0.050354,0.0020918000000000004
247,1,0.047231,-0.0092725,0.00042386,0.0021,-0.0094046,-0.047626,0.005162600000000001
248,1,0.044142,-0.009856499999999999,0.00062203,0.0021,-0.0098648,-0.044686000000000003,0.0020974
249,1,0.046494,-0.0063625,0.00026386,0.0021,-0.0062778,-0.046856,0.0020941999999999996
250,1,0.044153,-0.0070291,0.00049982,0.0021,-0.0065693,-0.044566,0.0055928
251,1,0.0486,-0.0042505,0.00013508,0.0021,-0.004384600000000001,-0.04902,0.0059898
252,1,0.04917,-0.00288,0.00010361,0.0021,-0.0028679,-0.049291,0.0020881999999999997
253,1,0.047046,-0.0008085000000000001,0.00014126,0.0021,-0.00071369,-0.047234,0.0050345
254,1,0.044562,-0.002478,0.00022053,0.0021,-0.0021658000000000003,-0.044987,0.008257500000000001
255,1,0.044704,-0.0026805999999999996,0.00012116,0.0021,-0.0025677,-0.044910000000000005,0.0020877
256,2,0.045449,0.0017077000000000001,1.9217e-05,0.0021,0.0016861,-0.045447,0.0020958
257,1,0.05032,0.0027893,3.9027e-05,0.0021,0.0027993000000000002,-0.050364,0.0020735
258,1,0.049766000000000005,0.0022761,0.00014609,0.0021,0.0022784000000000003,-0.049918000000000004,0.0061844
259,1,0.046063,0.0036180999999999995,0.00012714,0.0021,0.0036241999999999997,-0.046138,0.0073827
260,2,0.047023,0.0055305,-3.4275e-05,0.0021,0.005568399999999999,-0.047039,0.0020967
261,2,0.050283,0.006093600000000001,5.3354e-05,0.0021,0.0061365000000000005,-0.05035,0.0046075000000000005
262,2,0.04665,0.007615899999999999,5.8283000000000004e-05,0.0021,0.0076753,-0.046719,0.0060306000000000005
263,2,0.049295,0.010124,2.6718e-05,0.0021,0.010149,-0.049382,0.0038983000000000004
264,2,0.04559,0.0095292,3.6159000000000004e-05,0.0021,0.0095324,-0.045656999999999996,0.0020918000000000004
265,2,0.049817,0.014180000000000002,5.2591000000000005e-05,0.0021,0.014194,-0.049967000000000004,0.0056799
266,2,0.047812,0.013739,4.7023e-05,0.0021,0.013731,-0.047885000000000004,0.0020835000000000003
267,2,0.046073,0.012267,0.00011569,0.0021,0.012282,-0.046229,0.0056507
268,2,0.043605,0.013248,1.245e-05,0.0021,0.013253000000000001,-0.04372,0.0020930999999999996
269,2,0.044773,0.016002000000000002,-9.4955e-05,0.0021,0.016191999999999998,-0.044949,0.0048702
270,2,0.050164,0.017847,5.8835e-05,0.0021,0.01786,-0.050243,0.0076834
